Reference	Lexrank	Seq-to-seq	Score
Nilay Patel: 2013 is the year of refinement and reckoning in the tech industry. Patel: There are five big developments to keep an eye on. He asks whether Apple will get its mojo back and what will Microsoft do? Patel: Can Facebook grow up, and will Amazon be able to compete with Google?	Microsoft has been very candid about "missing a generation" of mobile innovation after Apple introduced the iPhone, and 2012 was all about the results of a furious catch-up effort: the company launched the completely rethought Windows 8 for PCs, Windows RT for tablets and Windows Phone 8 for smartphones. CEO Steve Ballmer also repositioned Microsoft as a "devices and services" company, and he introduced the Surface and Surface Pro, two tablets designed by Microsoft itself to compete with traditional PC companies such as Dell and Sony.	2013 will be a year of harsh change for the tech industry. Microsoft has been very candid about "missing a generation" of mobile innovation after Apple introduced the iPhone, and 2012 was all about the results of a furious catch - up effort. Apple found success in 2012 by introducing an iPhone with a bigger screen and an iPad with a smaller screen, but it'll have to focus on software in 2013 to stay ahead of the competition.	-0.157654282735
European Union leader: More sanctions against Russia to be considered. Ukraine's President says thousands of foreign troops are on Ukrainian soil. President of Ukraine: 'Point of no return' may come if escalation continues. Ukrainian forces bolster defenses around southern port of Mariupol.	A top European Union official said Saturday that new sanctions will be proposed within a week against Russia over its actions in Ukraine, but Ukrainian President Petro Poroshenko sounded like he can't wait that long. The Ukrainian military worked to fortify the port city of Mariupol after Russian intelligence groups were observed there, Col. Andriy Lysenko, spokesman for the Ukrainian National Defense and Security Council, said Saturday.	New sanctions will be proposed within a week against Russia over its actions in Ukraine. Russia has repeatedly denied either supporting the rebels or sending its own troops over the border. The European Union and the United States have already slapped economic sanctions on targeted Russian individuals and businesses. "I want to remind you that Russia is one of the most powerful nuclear Nations," the President says.	-0.266321634139
The eyes of the gaming world this week are on Sony, expected to unveil PlayStation 4. Rumors about Wednesday's launch focus on an online gaming feature, social sharing. New console would compete with Nintendo's Wii U, Microsoft's Xbox 360. Consoles also now compete with PC gaming, mobile games and Web streaming.	PC gaming, Web streaming and smartphone and tablet games have all sapped the popularity of the venerable living-room console. Its PlayStation 2, which was released in 2000, is the top-selling gaming console of all time with more than 150 million sold. Last year, Sony bought Gakai, a cloud-based gaming company that let PC gamers stream top games via broadband. Gamers will be looking for all that and more.	The eyes of the gaming world are on Sony, which's been more than six years since the company launched its PlayStation 3. In this new era of mobile, connected gaming, experts say faster processors and flashier specs won't be enough for the next generation. The PS3 has held its own but is not believed to have come even close to that number, with estimates hovering around 77 million.	-0.118886973351
Intelligence Committee chair says President should have been told of some spying. Officials say Obama didn't know about HealthCare.gov website glitches and U.S. spy programs. Analyst: "This has happened before. ... He has to be accountable for major decisions" Republican strategist: "There's really no good answer"	Questions about what the President knew and when he knew it have important implications, analysts told CNN on Monday. Problems in management, analysts say. Let us begin now to come up with models, alphas and betas and test runs, and call in the best people on the planet to make sure that we have a system that is ready to operate efficiently on opening day.'" But when Obama learned of the problems isn't the most important question to ask, Suskind said. "That is a management problem, and they're going to have to figure that management problem out."	U.s. officials have said that the President didn't know about problems with the website for the health Care policy he championed and that it wasn't until recently that he learned about a National Security Agency operation that wiretapped German Chancellor Angela Merkel's phone. Dianne Feinstein, the chairwoman of the Senate intelligence Committee, became the latest official to say the President was unaware of at least some spying. "There's really no good answer," said Republican strategist Kevin Madden.	-0.268554844009
Reports say Google's YouTube is in talks to buy Twitch. Twitch is a website that focuses on live-streaming video games. It has quietly amassed a huge audience in a short time. Analyst says move would let Google eliminate competition.	If YouTube is really on the verge of buying video game-streaming website Twitch, there's at least one reason behind the move that's as old as business itself: eliminating the competition. Little known outside the gaming world, Twitch has quietly skyrocketed, claiming 43 million monthly users just three years after it launched. Those users, Twitch says, watch an hour-and-a-half of video a day, much of it live coverage of things like video game competitions and other players working their way through new games.	Twitch has quietly skyrocketed, claiming 43 million monthly users just three years after it launched. At YouTube, which is owned by Google, some players have amassed follower bases of more than 1 million people by posting video of themselves gaming. So when an upstart like Twitch comes along, analysts say, it makes sense for Google to act. If YouTube is really on the Verge of buying video game competitions and other players working their way through new games.	-0.132735622269
Media reports say the NSA tapped the phones of about 35 world leaders. Key questions have emerged about what Obama knew, and his response. Leaders in Europe and Latin America demand answers, say they're outraged.	A senior administration official separately confirms to CNN some details of the Journal report, saying the White House did not know about the program until an until an internal review over the summer, after which some of it was stopped. The explanation was backed by a former senior administration official who worked on national security for the Obama White House.	President Barack Obama's hands clean in this? International leaders say they're outraged and the Obama administration says it's investigating. The President approves a set of intelligence priorities and then it's the responsibility of his administration to determine how to carry those out. It's not reasonable to expect that the President would have been involved in or necessarily briefed on decisions about individual intelligence targets, argued another senior administration official.	-0.194311613462
The U.S. State Department says any talks with Europe on spying will be private. President Obama says all nations, including European allies, spy on each other. EU to sweep for bugs after news outlets report on alleged U.S. surveillance. Der Spiegel reports that the U.S. bugged EU offices and infiltrated a computer network.	The German news magazine Der Spiegel reported Sunday that classified leaks by former National Security Agency contractor Edward Snowden detailed NSA bugging of European Union offices in Washington and New York, as well as an "electronic eavesdropping operation" that tapped into an EU building in Brussels. The president confirmed that the United States and Russia have had "high-level" discussions about Snowden, after an earlier report from Russia that the two nations' top law enforcement officials were working together to resolve the situation.	U.s. and EU officials are scheduled to begin talks on a proposed trans - atlantic free trade agreement next week. The German news magazine Der Spiegel reported Sunday that classified leaks by former National Security Agency contractor Edward Snowden detailed NSA bugging of European Union offices in Washington and new York, as well as an "electronic eavesdropping operation" that tapped into an EU building in Brussels. The European President Vladimir Putin opened the door on Monday to Snowden possibly staying in Russia.	-0.0798893165777
Despite a deal struck over Ukraine, the chances of a durable settlement remain slim, says Jonathan Eyal. Eyal: Putin's aim may be to destroy the nation, and condemn remaining western rump to status of failed state. Longer conflict goes on, less chances anyone has in controlling its protagonists, Eyal writes.	However, the latest Russian offensives indicate new objectives: Moscow's troops are consolidating the separatist rebel enclaves into one larger unit under Russian control, most likely as a prelude to Ukraine's permanent territorial division. The reality is that Ukraine's military does not need Western-made military equipment; it operates Russian or Soviet-made one. Russia is already finding it increasingly difficult to control ethnic Russian rebels in Ukraine, and that difficulty will only increase as times goes by.	Russian Chancellor Angela Merkel and French President Francois Hollande proclaimed themselves satisfied with the deal. The deal aimed at imposing a ceasefire in Ukraine from this Sunday was concluded following talks between the leaders of Russia, Ukraine, France and Germany. Yet despite 17 hours of talks in the Belarus capital of Minsk, during which President Vladimir Putin was seen breaking pencils on his desk in frustration, some of the agreement's most important provisions have yet to be clarified.	-0.0651991342997
Apple CEO Tim Cook said equality is "at the core of my beliefs" He called on passage of legislation guaranteeing workplace equality. Cook also called for immigration reform, recounted civil-rights era. Tech companies have been vocal on gay rights and other issues.	Cook called on Congress to act on immigration reform and to pass the Employment Non-Discrimination Act of 2013, which would "demand equality and non-discrimination for all employees, regardless of who they love." His comments at times took on a personal tone. "I have seen and I have experienced many other types of discrimination, and all of them were rooted in the fear of people that were different than the majority," he said. He said working at Apple has been different. "I was very fortunate that my life's journey took me to Apple," Cook said.	Apple CEO Tim Cook: "this image was permanently imprinted in my brain and it would change my life forever". Apple is one of several Silicon Valley companies that have been vocal on civil issues like immigration reform, nondiscrimination and same - sex marriage. Apple has donated money to the fight against California's Proposition 8, which would "demand equality and Non - discrimination for all employees, regardless of who they Love".	-0.0355629912841
Revelations about the scope of the NSA's snooping lead to the year's biggest tech stores. Hacking of major companies and sites for politics, fun and profit a reoccurring story in 2013. Snapchat, Vine, Bitcoin and iOS 7 all became familiar terms.	The scope of the program has led to lawsuits and protests, a public debate about the right to privacy versus the government's need to secretly collect information for security. Another big story this year was cybersecurity, illustrated by a string of attacks by hackers against news organizations, major tech companies and retailers. In the end, it wasn't enough and the company decided on one more big change: a new CEO. Some of 2013's big stories were just previews of what's to come in 2014.	The biggest technology story of 2013 is one of the biggest stories of the year, period. In June, the Guardian first published leaked documents from National security Agency contractor Edward Snowden. Microsoft continued to push its new Windows 8 operating system and Windows 8 smartphones, even going as far as to buy the No. In the end, it wasn't enough and the company decided on one more big change.	-0.180353078666
